Years,Month,Day,10ml,5ml
2021,1,1,0,0
2021,1,2,0,0
2021,1,3,44992.5,499999.5
2021,1,4,161955798.9,333927997.2
2021,1,5,130118310,48151496.93
2021,1,6,112133897.4,102891496.1
2021,1,7,119050155,423926248.7
2021,1,8,77642998.65,66104999.1
2021,1,9,212499,3708997.425
2021,1,10,0,19324999.58
2021,1,11,66673899.6,90459997.43
2021,1,12,186255300,133859625.9
2021,1,13,72072999.6,59449997.25
2021,1,14,56508698.4,217892998.6
2021,1,15,69678798,47972110.73
2021,1,16,44680293,231342515.3
2021,1,17,0,1249999.8
2021,1,18,134317940.4,254928999.2
2021,1,19,4417497,147215499.4
2021,1,20,123815848.8,294623544.6
2021,1,21,17105184.6,213125509.8
2021,1,22,6411741,89453494.73
2021,1,23,212499,3445024.8
2021,1,24,0,599999.4
2021,1,25,88948671,307341024.9
2021,1,26,68363673,147377282.3
2021,1,27,31774923.6,68804823.68
2021,1,28,70027050.45,270320063
2021,1,29,147910728,244449804.9
2021,1,30,3654982.8,17780051.1
2021,1,31,0,124999.875
2021,2,1,162243484.2,532683494.2
2021,2,2,294690081,335141788.3
2021,2,3,111941902.8,354098424.2
2021,2,4,22852149.6,104783750.9
2021,2,5,87105480,7084013.475
2021,2,6,35994000,89850000.45
2021,2,7,0,0
2021,2,8,0,2362500
2021,2,9,0,0
2021,2,10,0,0
2021,2,11,0,0
2021,2,12,0,0
2021,2,13,0,0
2021,2,14,0,0
2021,2,15,0,0
2021,2,16,3009636,143764999.9
2021,2,17,151630206,224299496.9
2021,2,18,189398731.2,307077503.3
2021,2,19,206818059,224602501.2
2021,2,20,1614992.4,85225019.25
2021,2,21,1019995.2,12124990.5
2021,2,22,66179106,235930001
2021,2,23,71111552.4,75693996.53
2021,2,24,94172043,91058010.23
2021,2,25,178823001,115423244
2021,2,26,86705140.2,109112031.5
2021,2,27,509997.6,15175080.9
2021,2,28,212499,49999.95
2021,3,1,75407430,411409001.9
2021,3,2,25852297.8,145470006.7
2021,3,3,19607130.9,300929002
2021,3,4,353338813.8,218888556.6
2021,3,5,181620138,21706757.63
2021,3,6,32394600,17274000.98
2021,3,7,0,750012.9
2021,3,8,205053504.6,242785515
2021,3,9,120408275.4,128531497
2021,3,10,65709000,187267513.1
2021,3,11,43192800,210626499.8
2021,3,12,48289405.5,176690506.7
2021,3,13,0,747500.25
2021,3,14,892495.8,275005.5
2021,3,15,2259843.6,291618015.7
2021,3,16,63680971.2,274036514.3
2021,3,17,56860549.2,170925003.4
2021,3,18,84670899.6,82476005.85
2021,3,19,75587400,167174676.9
2021,3,20,945000,14155000.65
2021,3,21,3399984,999999
2021,3,22,137110680,111582965
2021,3,23,123497182.2,247343012.7
2021,3,24,102625399.8,228562155.7
2021,3,25,27590497.2,205900019.9
2021,3,26,37881316.2,246015391.1
2021,3,27,339998.4,2225007.75
2021,3,28,0,625004.625
2021,3,29,144400998,160624024.6
2021,3,30,46155299.4,236387669.7
2021,3,31,138619399.8,62313003.9
2021,4,1,188048695.8,168682998.8
2021,4,2,483492269.4,255873502.5
2021,4,3,0,23879998.8
2021,4,4,0,611257.5
2021,4,5,250583298,355797869.7
2021,4,6,106872267.6,208482006.1
2021,4,7,106220864.4,223897511.3
2021,4,8,80936646,266266781.6
2021,4,9,167972082.6,112812025.7
2021,4,10,519498,1750008.75
2021,4,11,0,250005
2021,4,12,51928123.8,157352504.9
2021,4,13,103216289.4,256926022.5
2021,4,14,26282743.2,228417046.7
2021,4,15,18676996.8,37053754.5
2021,4,16,100653159.6,150606252.3
2021,4,17,10018495.2,27475001.4
2021,4,18,0,125002.5
2021,4,19,97826425.2,110767753.4
2021,4,20,175143339,230437505
2021,4,21,127499.4,1674999.9
2021,4,22,134881588.8,159513007.5
2021,4,23,53401597.2,398271518.9
2021,4,24,1749846,30737496.83
2021,4,25,84999.6,2399997.6
2021,4,26,106146810,263241252.8
2021,4,27,76709719.8,89716510.8
2021,4,28,21453944.4,116126258.3
2021,4,29,109041878.4,198230010.8
2021,4,30,0,274999.725
2021,5,1,0,0
2021,5,2,0,0
2021,5,3,0,0
2021,5,3,103992747.6,421052144.6
2021,5,4,136144029,333478501.7
2021,5,5,204680700,250843988.9
2021,5,6,241292599.8,434874504.2
2021,5,7,229103700,388578005.6
2021,5,8,123832749.6,12221000.4
2021,5,9,84999.6,799999.2
2021,5,10,159857581.8,456303503.8
2021,5,11,171396498,358563997.6
2021,5,12,271865693.4,580762549
2021,5,13,57195108.6,177809005
2021,5,14,99296202.6,295043752
2021,5,15,6284241.6,90159999.83
2021,,16,0,0
2021,5,17,126516574.8,144417518.7
2021,5,18,152360124,170411997.5
2021,5,19,50646880.2,316612497.6
2021,5,20,36669498.6,163959501.3
2021,5,21,153424425,310106399.9
2021,5,22,10798200,13255000.5
2021,5,23,212499,124999.875
2021,5,24,126777613.2,219478560
2021,5,25,86683098.6,86091574.28
2021,5,26,134167635,180236500
2021,5,27,45632613.6,54521508.83
2021,5,28,128943519.6,228407497
2021,5,29,169999.2,417502.575
2021,5,30,,175001.925
2021,5,31,99164100,83528998.88
2021,6,1,0,0
2021,6,2,10798200,0
2021,6,3,10798200,0
2021,6,4,0,0
2021,6,5,8638560,0
2021,6,6,0,0
2021,6,7,17997000,0
2021,6,8,0,23625000
2021,6,9,80626560,9450000
2021,6,10,0,4725000
2021,6,11,0,0
2021,6,12,0,0
2021,6,13,0,0
2021,6,14,30594900,4725000
2021,6,15,10798200,0
2021,6,16,0,0
2021,6,17,56690550,14175000
2021,6,18,0,0
2021,6,19,0,0
2021,6,20,0,0
2021,6,21,21596400,0
2021,6,22,22496250,4725000
2021,6,23,16197300,0
2021,6,24,0,0
2021,6,25,53991000,56700000
2021,6,26,0,0
2021,6,27,0,0
2021,6,28,0,0
2021,6,29,0,0
2021,6,30,0,0
2021,7,1,0,0
2021,7,2,0,11340000
2021,7,3,0,0
2021,7,4,0,0
2021,7,5,0,0
2021,7,6,5399100,3402000
2021,7,7,3239460,11340000
2021,7,8,42499.8,0
2021,7,9,5399100,7938000
2021,7,10,0,0
2021,7,11,0,0
2021,7,12,42499.8,12500.25
2021,7,13,16197300,4536000
2021,7,14,8638560,708750
2021,7,15,0,125002.5
2021,7,16,0,0
2021,7,17,0,0
2021,7,18,0,0
2021,7,19,0,0
2021,7,20,0,0
2021,7,21,424998,0
2021,7,22,15117480,0
2021,7,23,0,0
2021,7,24,0,0
2021,7,25,0,125002.5
2021,7,26,212499,0
2021,7,27,0,11340000
2021,7,28,5399100,36855000
2021,7,29,0,9700005
2021,7,30,0,0
2021,7,31,0,0
2021,8,1,0,0
2021,8,2,0,0
2021,8,3,4499250,0
2021,8,4,8998500,0
2021,8,5,8998500,0
2021,8,6,0,0
2021,8,7,0,0
2021,8,8,0,0
2021,8,9,0,2362500
2021,8,10,5399100,11340000
2021,8,11,0,4725000
2021,8,12,0,0
2021,8,13,0,0
2021,8,14,0,0
2021,8,15,0,0
2021,8,16,0,50001
2021,8,17,212499,0
2021,8,18,0,0
2021,8,19,0,0
2021,8,20,0,4725000
2021,8,21,0,0
2021,8,22,0,0
2021,8,23,0,0
2021,8,24,0,11340000
2021,8,25,17997000,0
2021,8,26,0,0
2021,8,27,15117480,0
2021,8,28,0,0
2021,8,29,0,0
2021,8,30,0,0
2021,8,31,0,0
2021,9,1,0,0
2021,9,2,0,0
2021,9,3,0,0
2021,9,4,0,0
2021,9,5,0,0
2021,9,6,0,11340000
2021,9,7,5399100,0
2021,9,8,32394600,0
2021,9,9,5399100,0
2021,9,10,16197300,8032500
2021,9,11,0,0
2021,9,12,0,0
2021,9,13,0,50001
2021,9,14,42499.8,0
2021,9,15,0,11340000
2021,9,16,84999.6,0
2021,9,17,0,0
2021,9,18,0,0
2021,9,19,0,0
2021,9,20,0,0
2021,9,21,8998500,0
2021,9,22,0,0
2021,9,23,0,2362500
2021,9,24,6100983,4559625
2021,9,25,0,0
2021,9,26,0,0
2021,9,27,212499,250005
2021,9,28,0,0
2021,9,29,10798200,0
2021,9,30,5399100,0
2021,10,1,17997000,125002.5
2021,10,2,0,50001
2021,10,3,0,0
2021,10,4,8998500,2362500
2021,10,5,12957840,5670000
2021,10,6,0,0
2021,10,7,0,0
2021,10,8,0,0
2021,10,9,0,0
2021,10,10,0,0
2021,10,11,14037660,0
2021,10,12,0,11390001
2021,10,13,84999.6,0
2021,10,14,0,0
2021,10,15,0,0
2021,10,16,0,250005
2021,10,17,0,0
2021,10,18,0,0
2021,10,19,0,0
2021,10,20,0,2362500
2021,10,21,21596400,0
2021,10,22,9083499.6,11340000
2021,10,23,0,0
2021,10,24,0,0
2021,10,25,19649259,0
2021,10,26,0,0
2021,10,27,26995500,0
2021,10,28,0,0
2021,10,29,44992500,0
2021,10,30,0,0
2021,10,31,0,0
2021,11,1,0,11340000
2021,11,2,84999.6,250005
2021,11,3,10798200,0
2021,11,4,0,10773000
2021,11,5,0,11390001
2021,11,6,0,0
2021,11,7,0,0
2021,11,8,0,5670000
2021,11,9,0,0
2021,11,10,3959340,4725000
2021,11,11,0,0
2021,11,12,0,0
2021,11,13,0,0
2021,11,14,0,0
2021,11,15,5611599,2835000
2021,11,16,21596400,50001
2021,11,17,13227795,2268000
2021,11,18,28795200,27455001
2021,11,19,62989500,0
2021,11,20,0,0
2021,11,21,0,0
2021,11,22,4499250,0
2021,11,23,0,0
2021,11,24,8998500,0
2021,11,25,0,0
2021,11,26,0,0
2021,11,27,26995500,9450000
2021,11,28,0,0
2021,11,29,0,0
2021,11,30,0,0
2021,12,1,0,0
2021,12,2,0,17010000
2021,12,3,0,0
2021,12,4,14037660,0
2021,12,5,0,0
2021,12,6,0,2362500
2021,12,7,0,75001.5
2021,12,8,0,0
2021,12,9,0,0
2021,12,10,0,0
2021,12,11,0,0
2021,12,12,0,0
2021,12,13,4499250,0
2021,12,14,17277120,19845000
2021,12,15,0,0
2021,12,16,0,0
2021,12,17,0,125002.5
2021,12,18,21596400,1134000
2021,12,19,10798200,17010000
2021,12,20,0,0
2021,12,21,0,2487502.5
2021,12,22,0,2393002.5
2021,12,23,212499,0
2021,12,24,0,0
2021,12,25,0,0
2021,12,26,4319280,0
2021,12,27,0,0
2021,12,28,0,2835000
2021,12,29,0,0
2021,12,30,0,0
2021,12,31,0,0
2022,1,1,0,0
2022,1,2,0,0
2022,1,3,0,0
2022,1,4,11010699,19372500
2022,1,5,0,4775001
2022,1,6,10798200,125002.5
2022,1,7,5399100,0
2022,1,8,0,0
2022,1,9,0,0
2022,1,10,0,8505000
2022,1,11,0,40685001
2022,1,12,37106349,0
2022,1,13,2159640,0
2022,1,14,5399100,3402000
2022,1,15,0,0
2022,1,16,0,0
2022,1,17,7198800,0
2022,1,18,13677720,189000
2022,1,19,0,0
2022,1,20,0,0
2022,1,21,21596400,0
2022,1,22,0,0
2022,1,23,0,0
2022,1,24,0,9072000
2022,1,25,5399100,19845000
2022,1,26,6478920,0
2022,1,27,0,0
2022,1,28,0,3402000
2022,1,29,0,0
2022,1,30,0,0
2022,1,31,0,0
2022,2,1,0,0
2022,2,2,0,0
2022,2,3,0,0
2022,2,4,0,0
2022,2,5,0,0
2022,2,6,0,0
2022,2,7,4499250,0
2022,2,8,42499.8,25000.5
2022,2,9,0,25000.5
2022,2,10,0,0
2022,2,11,0,22680000
2022,2,12,0,0
2022,2,13,0,0
2022,2,14,0,0
2022,2,15,8638560,4725000
2022,2,16,0,25000.5
2022,2,17,0,0
2022,2,18,0,0
2022,2,19,0,0
2022,2,20,0,0
2022,2,21,0,0
2022,2,22,0,2835000
2022,2,23,0,141750
2022,2,24,0,0
2022,2,25,0,0
2022,2,26,0,0
2022,2,27,0,0
2022,2,28,0,2362500
2022,3,1,0,236250
2022,3,2,0,141750
2022,3,3,0,50001
2022,3,4,3239460,0
2022,3,5,0,8505000
2022,3,6,0,0
2022,3,7,0,0
2022,3,8,0,0
2022,3,9,0,0
2022,3,10,0,0
2022,3,11,0,3591000
2022,3,12,0,0
2022,3,13,0,0
2022,3,14,0,0
2022,3,15,42499.8,0
2022,3,16,0,0
2022,3,17,5399100,22680000
2022,3,18,0,0
2022,3,19,0,0
2022,3,20,0,0
2022,3,21,0,0
2022,3,22,0,0
2022,3,23,32394600,0
2022,3,24,8638560,4536000
2022,3,25,0,0
2022,3,26,0,0
2022,3,27,0,0
2022,3,28,0,11340000
2022,3,29,0,0
2022,3,30,0,2360000
2022,3,31,0,0
